full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
371726 (2007 EU99),2.629,0.0248,2.77,10.58,88.54,2.563,2.69,4.26,6739.0,0.0,204,,,17.41
339066 (2004 PR68),2.479,0.1197,14.86,161.59,218.03,2.182,2.78,3.9,7340.0,0.0,399,,,17.04
       (2023 UU61),2.327,0.1517,12.1,48.65,333.94,1.974,2.68,3.55,59.0,5.0,14,,,18.98
210147 Zalgiris (2006 SU77),3.066,0.0642,4.12,221.34,143.28,2.869,3.26,5.37,8061.0,0.0,412,,,15.98
115946 (2003 WU30),2.488,0.1217,5.1,12.93,255.77,2.185,2.79,3.92,11715.0,0.0,1082,,,15.71
       (2017 UZ118),2.152,0.2921,1.82,195.32,119.42,1.523,2.78,3.16,2172.0,1.0,76,,,19.92
248771 (2006 RU122),2.628,0.1212,11.24,299.98,14.33,2.309,2.95,4.26,7669.0,0.0,356,,,16.4
380918 (2006 FM20),2.845,0.0534,12.37,32.37,227.53,2.693,3.0,4.8,8306.0,0.0,238,,,16.47
       (2015 FT97),3.159,0.2186,14.09,205.04,319.95,2.469,3.85,5.61,2325.0,2.0,31,,,17.0
591328 (2013 HT56),2.26,0.0651,3.39,296.37,35.59,2.113,2.41,3.4,6763.0,0.0,133,,,18.46
       (2018 DW16),1.912,0.1064,22.65,155.3,344.27,1.708,2.12,2.64,2987.0,0.0,30,,,19.63
       (2015 PO88),3.118,0.0994,3.45,62.26,209.49,2.808,3.43,5.51,3558.0,1.0,41,,,17.54
       (2015 VB105),1.636,0.2714,4.88,293.66,103.39,1.192,2.08,2.09,32.0,7.0,32,,,23.2
558186 (2014 YY9),3.06,0.265,1.53,269.93,152.1,2.249,3.87,5.35,7629.0,0.0,115,,,17.34
       (2023 GO6),2.768,0.2182,16.58,72.57,196.84,2.164,3.37,4.6,8893.0,0.0,44,,,17.81
702683 (2006 RK98),2.722,0.252,11.25,54.01,344.11,2.036,3.41,4.49,7942.0,0.0,225,,,16.82
143064 (2002 WC12),2.686,0.084,14.83,195.41,287.58,2.46,2.91,4.4,8440.0,0.0,1204,,,15.44
413286 (2003 UN115),2.392,0.2322,2.84,334.07,342.18,1.837,2.95,3.7,9012.0,0.0,243,,,17.49
       (2007 BC47),2.569,0.1581,6.93,345.18,161.1,2.163,2.97,4.12,6311.0,0.0,59,,,18.22
297968 (2002 JP20),2.552,0.3149,12.13,193.94,80.16,1.749,3.36,4.08,9297.0,0.0,294,,,17.12
647723 (2008 WO75),2.853,0.074,5.36,214.31,193.73,2.642,3.06,4.82,7420.0,0.0,162,,,17.19
       (2016 PD160),2.767,0.1568,15.12,76.26,207.13,2.333,3.2,4.6,2396.0,0.0,28,,,18.5
       (2015 KA408),2.637,0.0533,3.94,46.98,85.42,2.497,2.78,4.28,2.0,9.0,17,,,19.23
       (2017 AW59),3.083,0.2342,11.72,258.91,285.25,2.361,3.81,5.41,2354.0,2.0,17,,,18.05
 93241 (2000 SO152),2.615,0.1805,25.96,22.14,61.3,2.143,3.09,4.23,9194.0,0.0,863,,,15.64
       (2009 SW63),2.632,0.2418,6.87,172.96,223.03,1.995,3.27,4.27,4820.0,0.0,113,,,18.16
205548 (2001 SE202),2.926,0.0674,1.39,344.77,311.51,2.728,3.12,5.0,11941.0,0.0,527,,,15.65
       (2003 SM464),2.741,0.173,4.36,210.39,140.03,2.267,3.22,4.54,6585.0,0.0,57,,,18.08
       (2022 QV91),2.695,0.3427,17.33,53.95,309.76,1.771,3.62,4.42,127.0,4.0,59,,,18.59
417489 (2006 RW85),2.452,0.2062,2.71,11.33,10.76,1.946,2.96,3.84,7952.0,0.0,227,,,17.71
206965 (2004 SL43),2.215,0.0878,6.21,315.45,137.81,2.02,2.41,3.3,8362.0,0.0,321,,,17.32
 73984 Claudebernard (1998 DJ20),2.236,0.1233,5.87,356.71,282.89,1.96,2.51,3.34,9540.0,0.0,2087,,,15.38
336448 (2008 UP330),2.637,0.2381,2.86,210.09,180.8,2.009,3.26,4.28,10481.0,0.0,173,,,17.33
737530 (2016 CB191),3.054,0.1527,6.91,104.5,105.23,2.588,3.52,5.34,6315.0,0.0,107,,,17.2
723158 (2006 QB70),3.211,0.1039,17.78,341.6,295.98,2.878,3.55,5.76,6597.0,0.0,209,,,15.81
       (2015 XB279),2.552,0.188,1.93,118.74,320.05,2.072,3.03,4.08,8694.0,1.0,45,,,18.77
323739 (2005 MK22),2.403,0.1849,2.67,292.17,349.12,1.959,2.85,3.73,7029.0,0.0,341,,,17.32
642857 (2005 UR487),2.347,0.2212,8.68,293.35,39.61,1.828,2.87,3.6,10224.0,0.0,334,,,17.22
125885 (2001 XE208),2.304,0.1309,6.65,214.86,106.82,2.003,2.61,3.5,8767.0,0.0,1297,,,15.99
387927 (2005 CU2),2.682,0.2162,6.99,120.81,6.41,2.102,3.26,4.39,7138.0,0.0,370,,,16.9
       (2018 AJ44),2.661,0.129,9.61,162.12,271.08,2.318,3.0,4.34,2824.0,0.0,43,,,18.07
       (2009 WT58),2.702,0.0913,7.03,71.23,38.36,2.455,2.95,4.44,6628.0,0.0,102,,,17.69
